file,cluster,centroid_distance,cluster_size,embedding,silhouette_overall
D:\GitHub\dolap\files_dolab\files\150375.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150376.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150380.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150382.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150387.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150397.py,8,23.029299,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150404.py,8,14.4093895,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150406.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150407.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150410.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150414.py,8,13.874558,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150416.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150419.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150420.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150423.py,8,14.4093895,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150424.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150427.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150428.py,8,14.4093895,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150432.py,8,13.85496,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150433.py,10,18.799139,424,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150436.py,2,29.40451,608,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150438.py,8,21.21782,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150446.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150449.py,8,17.551435,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150451.py,8,13.866336,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150453.py,8,13.706774,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150457.py,8,17.551435,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150464.py,7,65.568825,273,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150481.py,8,13.874558,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150488.py,8,15.090587,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150502.py,8,13.874558,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150509.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150520.py,8,14.4093895,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150522.py,8,13.65961,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150526.py,8,21.133059,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150529.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150531.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
D:\GitHub\dolap\files_dolab\files\150532.py,8,13.659609,329,CodeT5Enc:Salesforce/codet5-base,0.2318152
